   96.16100     ,  0.0000000E+00
   97.55400     ,   4.340000    
   98.94700     ,   75.49200    
   100.3400     ,   78.48800    
   101.7320     ,   85.01300    
   103.1240     ,   129.3390    
   104.5160     ,   272.4190    
   105.9080     ,   835.4540    
   107.3000     ,   1181.283    
   108.6910     ,   1177.187    
   110.0820     ,   1108.083    
   111.4730     ,   1417.061    
   112.8640     ,   1765.546    
   114.2540     ,   2241.341    
   115.6440     ,   3049.271    
   117.0340     ,   4068.190    
   118.4240     ,   4739.014    
   119.8130     ,   4846.908    
   121.2030     ,   4477.823    
   122.5920     ,   4205.282    
   123.9810     ,   3344.769    
   125.3690     ,   2326.064    
   126.7580     ,   1639.921    
   128.1460     ,   1147.259    
   129.5340     ,   890.0140    
   130.9220     ,   612.1320    
   132.3090     ,   490.5690    
   133.6960     ,   278.2870    
   135.0830     ,   146.2520    
   136.4700     ,   181.4380    
   137.8570     ,   342.8200    
   139.2430     ,   333.4220    
   140.6300     ,   320.2840    
   142.0160     ,   274.9790    
   143.4010     ,   204.6140    
   144.7870     ,   38.13800    
   146.1720     ,   133.4900    
   147.5570     ,   29.70100    
   148.9420     ,   83.20600    
   150.3270     ,   55.21200    
   151.7110     ,   33.69500    
   153.0960     ,   100.5290    
   154.4800     ,   344.2960    
   155.8630     ,   641.0040    
   157.2470     ,   887.6580    
   158.6300     ,   1217.264    
   160.0130     ,   1312.825    
   161.3960     ,   1130.347    
   162.7790     ,   830.8310    
   164.1610     ,   626.2800    
   165.5440     ,   454.6960    
   166.9260     ,   281.0810    
   168.3080     ,   349.4360    
   169.6890     ,   440.7620    
   171.0700     ,   748.0630    
   172.4520     ,   1170.339    
   173.8330     ,   1860.591    
   175.2130     ,   2689.821    
   176.5940     ,   3542.027    
   177.9740     ,   3892.214    
   179.3540     ,   3493.369    
   180.7340     ,   2847.446    
   182.1140     ,   1965.970    
   183.4930     ,   1417.976    
   184.8720     ,   1046.471    
   186.2510     ,   856.8150    
   187.6300     ,   736.4450    
   189.0080     ,   578.8560    
   190.3870     ,   601.2680    
   191.7650     ,   538.4660    
   193.1430     ,   497.7570    
   194.5200     ,   413.2060    
   195.8980     ,   392.8330    
   197.2750     ,   396.6020    
   198.6520     ,   358.4970    
   200.0290     ,   448.4890    
   201.4050     ,   452.5660    
   202.7820     ,   457.6970    
   204.1580     ,   567.9040    
   205.5340     ,   591.1710    
   206.9090     ,   796.4720    
   208.2850     ,   970.8250    
   209.6600     ,   1004.205    
   211.0350     ,   1074.605    
   212.4100     ,   1101.025    
   213.7840     ,   1241.464    
   215.1590     ,   1526.919    
   216.5330     ,   1908.392    
   217.9070     ,   2441.878    
   219.2810     ,   3156.381    
